,date,S199,S200,S332B,S332BN,S332C,S332D,S332DX1,S12A,S12B,S12C,S12D,S333,S333N,S334,S343A,S343B,S344,S356,S18C_S,S12A_T,S12C_T,S12D_T,S12B_T,S333_T,S334_H,NESRS1,NESRS2,NP205_rain,NP205_stage,P33_rain,P33_stage,NP205_PET,P33_PET,G620_water_level,SWEVER4_stage,TSH_stage,NP62_stage
0,10/16/2020,242.17,279.69,218.42,218.42,445.77,481.38,0,460,382,478,895,1177.66,54.37,0,0,0,111.33,451.26,289,10.09,10.1,10.12,10.03,7.98,8.24,7.75,7.94,2.28,6.925,0.106,7.133,2.09,2.09,5.92,2.92,3.03,4.04
1,10/17/2020,296.05,294.85,265.13,265.13,587.35,556.24,0,490,405,508,942,1496.92,54.37,0,0,0,115.62,531.02,274,10.16,10.16,10.18,10.17,8.47,8.33,7.85,7.96,0.01,7.025,0,7.133,3.87,3.87,5.97,2.95,3.08,4.05
2,10/18/2020,277.85,294.24,264.23,264.23,514.45,503.14,0,472,394,498,926,1459.37,54.37,0,0,0,119.9,454.09,252,10.12,10.13,10.15,10.13,8.28,8.32,7.89,7.98,0,7.008,0.088,7.138,3.51,3.51,5.98,2.93,3.06,4.05
3,10/19/2020,224.13,294.72,264.39,264.39,491.06,537.91,0,466,392,498,928,1406.97,54.37,0,0,0,124.18,399.97,227,10.11,10.12,10.14,10.12,8.27,8.32,7.95,8.02,0.11,6.986,0.256,7.167,1.98,1.98,5.98,2.91,3.05,4.06
4,10/20/2020,260.51,295.06,263.38,263.38,489.25,558.77,0,472,399,512,963,1198.68,54.37,0,0,0,128.46,488.76,276,10.12,10.15,10.18,10.13,7.96,8.36,7.98,8.06,0.37,6.977,0.678,7.195,1.27,1.27,5.99,2.9,3.06,4.11
5,10/21/2020,299.42,299.77,268.2,268.2,597.5,569.57,0,545,459,602,1180,2.73,54.37,0,0,0,132.74,533.05,1130,10.28,10.36,10.44,10.32,8.46,8.41,8.32,8.32,1.38,7.037,2.167,7.375,0.6,0.6,6.05,3.04,3.25,4.4
6,10/22/2020,299.28,300.42,249.94,249.94,632.25,569.49,0,582,484,628,1230,0,54.37,0,0,0,137.02,521.26,1490,10.35,10.41,10.49,10.38,8.28,8.39,8.37,8.32,0.05,7.075,0.159,7.496,2.39,2.39,6.08,3.18,3.4,4.66
7,10/23/2020,298.03,298.83,323.41,268.41,630.08,567.84,0,583,485,633,1230,0,54.37,0,0,0,141.31,530.23,1240,10.35,10.41,10.48,10.38,8.28,8.35,8.32,8.29,0,7.05,0,7.5,3.4,3.4,6.09,3.19,3.4,4.66
8,10/24/2020,297.71,297.73,473.25,264.12,628.48,568.9,0,583,489,640,1250,0,54.37,0,0,0,145.59,532.65,921,10.35,10.42,10.5,10.38,7.93,8.32,8.29,8.25,1.09,7.034,0.59,7.514,1.89,1.89,6.09,3.21,3.42,4.66
9,10/25/2020,298.12,298.6,534.53,267.67,627.89,567.7,0,595,498,654,1290,0,54.37,0,0,0,149.87,534.42,1070,10.38,10.44,10.53,10.4,8.47,8.33,8.31,8.27,0.1,7.075,0.326,7.586,1.98,1.98,6.13,3.26,3.5,4.68
10,10/26/2020,297.59,297.85,438.42,168.99,627.94,546.74,0,597,499,659,1300,0,54.37,0,0,0,154.15,533.96,981,10.38,10.44,10.53,10.4,8.27,8.31,8.28,8.24,0.07,7.032,0.317,7.577,3.18,3.18,6.12,3.29,3.49,4.67
11,10/27/2020,297.39,297.36,488.38,221.47,627.64,565.95,0,602,504,667,1310,0,54.37,0,0,0,158.43,532.53,838,10.39,10.45,10.54,10.41,8.29,8.27,8.26,8.22,0,7.011,0,7.578,3.74,3.74,6.13,3.27,3.47,4.69
12,10/28/2020,297.15,297,436.18,173.2,610.84,555.79,0,601,506,672,1320,0,54.37,0,0,0,162.89,518.22,663,10.39,10.45,10.54,10.41,7.92,8.24,8.23,8.19,0,6.995,0,7.551,3.64,3.64,6.13,3.21,3.42,4.66
13,10/29/2020,296.99,296.87,378.12,134.19,621.55,560.24,0,604,510,687,1330,0,54.37,0,0,0,167.9,512.72,503,10.39,10.45,10.54,10.41,8.47,8.22,8.2,8.16,1.06,7.013,0,7.527,3.36,3.36,6.13,3.16,3.38,4.62
